,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,Name,Transported,Spendings
51,0053_01,Earth,0,F/11/S,TRAPPIST-1e,25.0,0,Elson Hickerson,1,1939.0
52,0056_01,Europa,0,A/1/S,TRAPPIST-1e,2.0,0,Okulas Tractive,1,0.0
53,0056_02,Europa,1,A/1/S,TRAPPIST-1e,38.0,0,Instab Tractive,1,0.0
54,0056_03,Europa,0,A/1/S,TRAPPIST-1e,27.0,0,Zinoces Tractive,1,4547.0
55,0058_01,Earth,1,G/7/S,PSO J318.5-22,36.0,0,Warry Ayalazquez,0,0.0
56,0061_01,Earth,0,F/12/S,TRAPPIST-1e,22.0,0,Shanya Salez,0,2667.0
57,0062_01,Earth,0,F/13/S,TRAPPIST-1e,62.0,0,Sterry Greeves,0,634.0
58,0064_01,Mars,1,F/14/S,TRAPPIST-1e,15.0,0,,1,0.0
59,0064_02,,1,E/3/S,TRAPPIST-1e,33.0,0,Colatz Keen,1,
60,0066_01,Earth,0,G/6/P,TRAPPIST-1e,62.0,0,Diandy Pecketton,0,811.0
61,0067_01,Earth,1,G/10/S,PSO J318.5-22,0.0,0,Ninaha Leeves,1,0.0
62,0067_02,Earth,0,G/10/S,TRAPPIST-1e,18.0,0,Celine Leeves,1,705.0
63,0067_03,Earth,0,F/15/S,55 Cancri e,21.0,0,Velyne Leeves,0,2007.0
64,0068_01,Mars,0,E/4/S,TRAPPIST-1e,,0,Cinst Binie,0,1048.0
65,0069_01,Earth,0,F/16/S,TRAPPIST-1e,42.0,0,,1,902.0
66,0070_01,Earth,0,F/13/P,TRAPPIST-1e,19.0,0,Meremy Brighttt,0,922.0
67,0071_01,Earth,0,F/14/P,TRAPPIST-1e,17.0,0,Nelly Dillines,0,2233.0
68,0072_01,Earth,0,F/17/S,TRAPPIST-1e,14.0,0,Thell Brantuarez,0,1064.0
69,0073_01,Mars,0,D/3/P,PSO J318.5-22,37.0,0,Gorn Make,0,879.0
70,0074_01,Europa,0,C/3/S,TRAPPIST-1e,42.0,0,Aldibah Mostedry,1,8904.0
71,0076_01,Mars,0,F/18/S,TRAPPIST-1e,27.0,0,Conk Dal,1,1165.0
72,0077_01,Mars,0,F/15/P,TRAPPIST-1e,28.0,0,Pon Blité,1,1309.0
73,0078_01,Europa,0,C/4/S,TRAPPIST-1e,38.0,0,Spuri Pokerheed,0,15815.0
74,0081_01,Earth,1,G/13/S,TRAPPIST-1e,13.0,0,Dellie Vinozarks,0,0.0
75,0082_01,Mars,0,F/16/P,TRAPPIST-1e,42.0,0,Totse Datte,0,7406.0
76,0082_02,Mars,1,F/16/P,TRAPPIST-1e,2.0,0,Eaturs Datte,1,0.0
77,0082_03,Mars,0,F/16/P,TRAPPIST-1e,8.0,0,,1,0.0
78,0084_01,Earth,0,G/14/S,TRAPPIST-1e,24.0,0,Coren Coopezmaney,1,705.0
79,0085_01,Europa,1,C/5/S,TRAPPIST-1e,40.0,0,Furudah Ellcefulve,1,0.0
80,0086_01,Earth,0,F/17/P,TRAPPIST-1e,43.0,0,Jodye Kinson,0,1362.0
81,0088_01,Mars,1,E/5/S,PSO J318.5-22,45.0,0,Stmeal Sacre,1,0.0
82,0090_01,Earth,1,G/15/S,TRAPPIST-1e,35.0,0,Heremy Santry,1,0.0
83,0091_01,Earth,1,G/16/S,TRAPPIST-1e,26.0,0,Deanne Yorkland,1,
84,0091_02,Earth,0,F/20/S,TRAPPIST-1e,27.0,0,Tinez Yorkland,0,917.0
85,0092_01,Earth,0,G/9/P,TRAPPIST-1e,19.0,0,Gracy Dunnisey,0,705.0
86,0092_02,Earth,1,G/9/P,TRAPPIST-1e,0.0,0,Stald Hewson,1,
87,0092_03,Earth,1,G/9/P,TRAPPIST-1e,3.0,0,Tiney Hewson,1,0.0
88,0097_01,Europa,0,A/2/S,TRAPPIST-1e,54.0,0,Alchium Fictful,0,1848.0
89,0098_01,Earth,0,G/11/P,TRAPPIST-1e,26.0,0,Doria Carezquez,0,893.0
90,0098_02,Earth,0,G/11/P,TRAPPIST-1e,26.0,0,Leence Carezquez,1,3855.0
91,0099_01,Earth,0,F/19/P,PSO J318.5-22,23.0,0,Aliey Leetersoney,0,1301.0
92,0099_02,Earth,,G/12/P,TRAPPIST-1e,2.0,0,Thewis Connelson,1,0.0
93,0101_01,Mars,1,,TRAPPIST-1e,31.0,0,Book Trad,1,0.0
94,0102_01,Earth,0,F/23/S,TRAPPIST-1e,18.0,0,Ritany Holson,0,921.0
95,0103_01,Earth,0,F/24/S,TRAPPIST-1e,24.0,0,Arlen Mclainez,1,
96,0103_02,Earth,1,G/18/S,55 Cancri e,9.0,0,Shaele Mclainez,1,0.0
97,0103_03,Earth,1,G/18/S,TRAPPIST-1e,6.0,0,Fanne Mclainez,0,0.0
98,0105_01,Earth,,F/21/P,TRAPPIST-1e,27.0,0,Carry Cleachrand,0,703.0
99,0107_01,Mars,0,D/2/S,TRAPPIST-1e,21.0,0,Coobix Hart,0,1765.0
100,0108_01,Earth,1,G/19/S,TRAPPIST-1e,23.0,0,Natald Handertiz,0,0.0
101,0108_02,Earth,0,G/19/S,TRAPPIST-1e,31.0,0,,0,888.0
102,0108_03,Earth,0,G/19/S,TRAPPIST-1e,0.0,,Oline Handertiz,1,0.0
103,0110_01,Europa,0,,TRAPPIST-1e,32.0,0,Graviph Aloubtled,0,5109.0
104,0110_02,Europa,,B/5/P,TRAPPIST-1e,40.0,0,Aldeba Bootious,0,2018.0
105,0110_03,Europa,0,B/5/P,TRAPPIST-1e,42.0,0,Alaratz Aloubtled,1,15940.0
106,0110_04,Europa,1,B/5/P,TRAPPIST-1e,28.0,0,Izark Aloubtled,1,0.0
107,0111_01,Europa,1,E/6/S,TRAPPIST-1e,29.0,0,Aldera Supred,1,0.0
108,0112_01,Europa,0,B/1/S,55 Cancri e,48.0,1,Moth Cowtale,1,2654.0
109,0113_01,Earth,0,F/23/P,TRAPPIST-1e,64.0,0,Idary Carvis,1,804.0
110,0114_01,Earth,0,G/20/S,TRAPPIST-1e,27.0,0,Maura Beckerson,0,907.0
111,0115_01,Mars,,F/24/P,TRAPPIST-1e,26.0,0,Rohs Pead,1,
112,0116_01,Europa,0,D/4/P,TRAPPIST-1e,33.0,0,Alhenah Suptive,1,2640.0
113,0119_01,,0,A/0/P,TRAPPIST-1e,39.0,0,Batan Coning,0,9307.0
114,0119_02,Europa,1,A/0/P,TRAPPIST-1e,13.0,0,Kleeiak Coning,1,0.0
115,0120_01,Mars,1,F/25/P,TRAPPIST-1e,24.0,0,Bees Sacre,1,
116,0122_01,Earth,0,G/21/S,TRAPPIST-1e,29.0,0,Shelle Hayder,0,773.0
117,0123_01,Earth,0,F/27/P,TRAPPIST-1e,18.0,0,Iree Fielson,0,702.0
118,0126_01,Mars,1,F/27/S,TRAPPIST-1e,67.0,0,Milly Mish,1,0.0
119,0127_01,Mars,0,E/7/S,TRAPPIST-1e,35.0,0,Miloss Mesty,0,1022.0
120,0128_01,Mars,0,D/3/S,TRAPPIST-1e,61.0,1,Grohs Fles,0,3014.0
121,0128_02,Mars,0,E/8/S,TRAPPIST-1e,45.0,0,Barave Fles,0,2109.0
122,0129_01,Earth,1,G/22/S,PSO J318.5-22,22.0,0,Race Fowles,1,
123,0133_01,Mars,1,F/29/S,TRAPPIST-1e,19.0,0,Flynx Blie,1,0.0
124,0133_02,Mars,0,D/5/S,TRAPPIST-1e,36.0,0,Egrasp Blie,0,2738.0
125,0134_01,Earth,0,G/17/P,TRAPPIST-1e,19.0,0,Camina Harmontry,1,744.0
126,0136_01,Earth,0,G/23/S,PSO J318.5-22,47.0,0,,0,721.0
127,0138_01,Earth,1,G/18/P,TRAPPIST-1e,13.0,0,Fayene Gambs,1,0.0
128,0138_02,Earth,0,E/5/P,,34.0,0,Monah Gambs,0,793.0
129,0139_01,Europa,1,C/6/S,55 Cancri e,35.0,0,Charda Myling,1,0.0
130,0140_01,Earth,1,G/19/P,TRAPPIST-1e,24.0,0,Evaley Mejiaddox,1,0.0
131,0140_02,Earth,0,F/29/P,TRAPPIST-1e,26.0,0,Verney Whitakers,0,902.0
132,0141_01,Mars,0,F/30/P,TRAPPIST-1e,31.0,0,Pyrohs Harte,0,
133,0144_01,Earth,0,F/31/S,TRAPPIST-1e,20.0,0,Guadae Dayers,1,630.0
134,0146_01,Earth,0,G/25/S,TRAPPIST-1e,56.0,0,Verly Wolferguson,0,0.0
135,0147_01,Earth,1,G/26/S,TRAPPIST-1e,50.0,0,Samie Hubbarrison,1,0.0
136,0148_01,Mars,0,F/31/P,TRAPPIST-1e,42.0,0,Corsh Pashe,0,1158.0
137,0149_01,Earth,1,G/27/S,55 Cancri e,,0,Billya Hubbarrison,1,0.0
138,0151_01,Earth,1,G/20/P,55 Cancri e,38.0,0,Shanie Simson,0,0.0
139,0152_01,Earth,0,F/32/P,,41.0,0,Andan Estron,0,607.0
140,0160_01,Earth,0,G/22/P,TRAPPIST-1e,22.0,0,Gory Atkinney,0,4180.0
141,0163_01,Europa,1,B/8/P,TRAPPIST-1e,26.0,0,Kabiton Hetforhaft,1,0.0
142,0163_02,Europa,1,B/8/P,TRAPPIST-1e,17.0,0,Scharab Hetforhaft,1,0.0
143,0164_01,Earth,0,G/28/S,TRAPPIST-1e,57.0,0,Fany Hutchinton,1,
144,0164_02,Earth,1,G/28/S,PSO J318.5-22,17.0,0,Ianya Hutchinton,0,0.0
145,0165_01,Mars,1,F/37/P,TRAPPIST-1e,35.0,,Graven Anche,1,0.0
146,0167_01,Mars,1,F/35/S,TRAPPIST-1e,13.0,0,Miten Floaf,1,0.0
147,0167_02,Mars,0,F/35/S,TRAPPIST-1e,27.0,0,Rios Floaf,0,1572.0
148,0169_01,Earth,1,G/23/P,TRAPPIST-1e,31.0,0,Wandy Fisherry,0,0.0
149,0170_01,Earth,0,E/10/S,TRAPPIST-1e,24.0,0,Mollie Mcmahoney,0,788.0
150,0171_01,Earth,1,G/30/S,PSO J318.5-22,19.0,0,Coracy Gordanieves,1,0.0
151,0172_01,Earth,1,G/24/P,TRAPPIST-1e,32.0,0,Hanna Johnshines,1,0.0
152,0173_01,Earth,,E/11/S,TRAPPIST-1e,58.0,0,Hilip Grifford,1,990.0
153,0174_01,Earth,0,F/38/P,55 Cancri e,21.0,0,Doryn Lambles,0,593.0
154,0177_01,Europa,0,B/2/S,TRAPPIST-1e,38.0,0,Toperon Iniouser,0,27428.0
155,0178_01,Mars,0,D/6/S,TRAPPIST-1e,38.0,0,Wees Knik,0,3722.0
156,0179_01,Earth,0,G/26/P,TRAPPIST-1e,19.0,0,Elaney Webstephrey,1,906.0
157,0179_02,Earth,0,G/26/P,TRAPPIST-1e,0.0,0,Raque Webstephrey,0,0.0
158,0179_03,Earth,0,G/26/P,TRAPPIST-1e,3.0,0,Sallyl Webstephrey,1,0.0
159,0181_01,Earth,0,G/27/P,TRAPPIST-1e,20.0,0,Nancis Brighttt,0,394.0
160,0182_01,Europa,1,C/3/P,TRAPPIST-1e,24.0,0,Ksorab Disight,1,0.0
161,0183_01,Earth,0,F/36/S,TRAPPIST-1e,37.0,0,Stany Weaves,1,821.0
162,0186_01,Earth,0,G/28/P,TRAPPIST-1e,25.0,0,Camiet Shephendry,0,1018.0
163,0188_01,Earth,1,G/31/S,TRAPPIST-1e,56.0,0,Branda Romez,1,0.0
164,0189_01,Earth,0,E/8/P,55 Cancri e,49.0,0,Helly Booters,0,788.0
165,0190_01,Earth,1,G/32/S,55 Cancri e,11.0,0,,0,0.0
166,0192_01,Earth,1,G/29/P,TRAPPIST-1e,1.0,0,Tance Adavisons,1,0.0
167,0192_02,Earth,0,G/29/P,TRAPPIST-1e,8.0,0,Robyny Adavisons,0,0.0
168,0192_03,Earth,0,G/29/P,TRAPPIST-1e,39.0,0,Lilace Adavisons,0,908.0
169,0193_01,Mars,1,F/41/P,TRAPPIST-1e,2.0,0,Sps Raf,1,0.0
170,0193_02,Mars,0,F/41/P,TRAPPIST-1e,23.0,0,Frook Raf,0,
171,0193_03,Mars,0,F/41/P,TRAPPIST-1e,0.0,0,Goles Raf,1,0.0
172,0195_01,Mars,0,F/42/P,TRAPPIST-1e,39.0,0,Bar Floaf,1,1273.0
173,0196_01,Mars,0,D/5/P,PSO J318.5-22,25.0,0,Caper Emead,0,1778.0
174,0197_01,Europa,0,C/5/P,TRAPPIST-1e,36.0,0,Astrak Dissper,0,2342.0
175,0198_01,Earth,,G/30/P,PSO J318.5-22,52.0,0,Jeroy Cookson,1,0.0
176,0199_01,Earth,1,G/33/S,TRAPPIST-1e,18.0,0,Regana Morrows,0,0.0
177,0200_01,Earth,1,G/31/P,TRAPPIST-1e,15.0,0,Elia Colomonson,1,0.0
178,0201_01,Europa,1,B/3/S,TRAPPIST-1e,35.0,0,Kaffias Bacistion,1,0.0
179,0201_02,Europa,1,B/3/S,TRAPPIST-1e,47.0,0,Edaruma Bacistion,1,0.0
180,0202_01,Europa,1,B/9/P,55 Cancri e,45.0,0,Pomera Embleng,1,0.0
181,0202_02,Europa,0,A/2/P,55 Cancri e,,0,Vegas Embleng,1,
182,0203_01,Europa,1,C/8/S,TRAPPIST-1e,51.0,0,Ancham Heateele,1,0.0
183,0205_01,Earth,0,G/34/S,TRAPPIST-1e,29.0,0,Carma Oneiles,0,773.0
184,0206_01,Europa,0,C/9/S,55 Cancri e,,0,Nuson Brugashed,1,2981.0
185,0207_01,Earth,1,G/32/P,PSO J318.5-22,19.0,0,Thony Mcfaddennon,0,0.0
186,0210_01,,1,D/6/P,55 Cancri e,24.0,0,Arraid Inicont,1,
187,0211_01,Mars,0,F/44/P,TRAPPIST-1e,29.0,0,Pebuts Appie,1,1040.0
188,0211_02,Mars,1,F/44/P,TRAPPIST-1e,11.0,0,Corsh Appie,1,0.0
189,0211_03,Mars,0,F/44/P,TRAPPIST-1e,17.0,0,Picers Date,0,1337.0
190,0212_01,Earth,0,E/9/P,TRAPPIST-1e,13.0,0,Inen Workmans,0,982.0
191,0212_02,Earth,0,F/45/P,TRAPPIST-1e,35.0,0,Shally Workmans,0,732.0
192,0213_01,Earth,0,F/46/P,TRAPPIST-1e,21.0,0,Carita Navages,0,794.0
193,0216_01,Earth,0,F/40/S,55 Cancri e,21.0,0,Searla Garnes,0,1974.0
194,0217_01,Earth,0,F/47/P,TRAPPIST-1e,38.0,0,Prilly Shieldson,0,1544.0
195,0219_01,Earth,1,G/36/P,TRAPPIST-1e,19.0,0,Nica River,1,0.0
196,0220_01,Earth,1,G/37/P,TRAPPIST-1e,2.0,0,Tyle Wilsoney,1,0.0
197,0220_02,Earth,0,G/37/P,TRAPPIST-1e,0.0,0,Wena Wilsoney,1,0.0
198,0220_03,Earth,1,G/37/P,TRAPPIST-1e,13.0,0,Branca Wilsoney,0,0.0
199,0220_04,Earth,0,E/10/P,TRAPPIST-1e,25.0,0,Dont Wilsoney,0,
200,0220_05,Earth,0,F/48/P,TRAPPIST-1e,16.0,0,Velyne Wilsoney,0,1102.0
201,0220_06,Earth,0,G/37/P,55 Cancri e,1.0,0,Weney Wilsoney,0,0.0
202,0220_07,Earth,1,G/37/P,TRAPPIST-1e,15.0,0,Guye Wilsoney,1,0.0
203,0221_01,Mars,0,E/13/S,55 Cancri e,21.0,0,Cowhex Blan,0,2356.0
204,0221_02,Mars,0,E/13/S,TRAPPIST-1e,23.0,0,Yogark Reke,0,1298.0
205,0221_03,Mars,0,E/13/S,TRAPPIST-1e,33.0,0,Jacks Reke,0,2134.0
206,0221_04,Mars,1,E/13/S,TRAPPIST-1e,21.0,0,Eerch Reke,1,0.0
207,0221_05,Mars,0,E/13/S,TRAPPIST-1e,41.0,0,Panbug Reke,0,2597.0
208,0221_06,Mars,0,E/13/S,TRAPPIST-1e,16.0,0,Gran Reke,0,1370.0
209,0221_07,Mars,1,E/13/S,TRAPPIST-1e,42.0,0,Rohs Reke,0,0.0
210,0222_01,Mars,0,F/41/S,TRAPPIST-1e,20.0,0,Gone Perte,0,1417.0
211,0222_02,Mars,1,F/41/S,TRAPPIST-1e,24.0,0,Colf Deva,1,0.0
212,0222_03,Mars,1,E/14/S,TRAPPIST-1e,16.0,0,Grake Perte,1,0.0
213,0223_01,Earth,0,G/35/S,TRAPPIST-1e,21.0,0,Evan Sykess,0,676.0
214,0224_01,Mars,0,F/42/S,TRAPPIST-1e,32.0,1,Blues Queen,0,1820.0
215,0225_01,Earth,1,G/38/P,PSO J318.5-22,58.0,0,Carly Hortis,1,0.0
216,0229_01,Earth,0,F/43/S,TRAPPIST-1e,24.0,0,Done Sellahaney,0,803.0
217,0231_01,Mars,0,F/44/S,TRAPPIST-1e,30.0,0,Krus Nate,0,1806.0
218,0232_01,Earth,1,G/36/S,PSO J318.5-22,27.0,0,Nica Bakerrison,0,
219,0233_01,Mars,0,F/45/S,TRAPPIST-1e,32.0,0,Teda Wist,0,1750.0
220,0234_01,Earth,0,F/50/P,TRAPPIST-1e,43.0,0,Keitha Josey,0,
221,0237_01,Europa,1,B/11/P,TRAPPIST-1e,42.0,0,Weias Aginge,1,0.0
222,0239_01,Mars,0,,TRAPPIST-1e,37.0,0,Diedow Resty,0,1048.0
223,0240_01,Mars,1,F/52/P,TRAPPIST-1e,35.0,0,Puffes Crie,1,0.0
224,0241_01,Europa,,E/11/P,55 Cancri e,33.0,0,Alas Dischod,0,7177.0
225,0242_01,,0,F/46/S,TRAPPIST-1e,18.0,0,Almone Sté,0,1288.0
226,0243_01,Earth,1,G/37/S,TRAPPIST-1e,21.0,0,Lilace Cartyernan,0,0.0
227,0244_01,Mars,1,,TRAPPIST-1e,43.0,0,Froos Sad,1,0.0
228,0244_02,Mars,1,F/47/S,55 Cancri e,14.0,,Tous Sad,1,0.0
229,0245_01,Europa,0,C/6/P,55 Cancri e,46.0,0,Glueba Repumparte,1,3578.0
230,0245_02,Europa,0,C/6/P,TRAPPIST-1e,33.0,0,Anchib Repumparte,0,12378.0
231,0246_01,Mars,0,D/8/P,TRAPPIST-1e,21.0,0,Mele Sesa,0,3261.0
232,0248_01,Europa,0,C/10/S,TRAPPIST-1e,33.0,0,Genifi Spanxibus,0,9684.0
233,0250_01,Earth,1,G/38/S,PSO J318.5-22,47.0,0,Camily Kramosley,0,
234,0251_01,,1,C/11/S,55 Cancri e,54.0,0,Diphah Amsive,1,0.0
235,0252_01,Earth,0,F/53/P,TRAPPIST-1e,30.0,0,Leenny Byerry,0,1571.0
236,0253_01,Earth,0,G/42/P,TRAPPIST-1e,29.0,0,Dawne Cardner,0,888.0
237,0254_01,Earth,0,F/54/P,TRAPPIST-1e,21.0,0,Race Stenson,1,1290.0
238,0255_01,Europa,1,A/3/S,TRAPPIST-1e,24.0,0,Ashir Mingious,1,0.0
239,0257_01,Mars,0,F/49/S,55 Cancri e,21.0,0,Errohs Berte,0,
240,0257_02,Mars,1,F/49/S,TRAPPIST-1e,60.0,0,Squars Berte,1,0.0
241,0258_01,Earth,0,F/50/S,TRAPPIST-1e,22.0,0,Feryla Cooperkins,0,704.0
242,0260_01,Europa,0,E/16/S,TRAPPIST-1e,26.0,0,Segino Inderly,0,7845.0
243,0261_01,Earth,0,F/56/P,TRAPPIST-1e,26.0,0,Dord Bookerson,0,898.0
244,0263_01,Earth,1,G/43/P,TRAPPIST-1e,28.0,0,Maen Merkins,1,0.0
245,0265_01,Europa,1,D/8/S,TRAPPIST-1e,39.0,0,Etair Herpumble,1,
246,0267_01,Earth,0,F/51/S,TRAPPIST-1e,13.0,0,Lilace Sancockett,0,873.0
247,0269_01,Earth,0,F/52/S,55 Cancri e,47.0,0,Lerome Polliamposs,1,823.0
248,0270_01,Earth,0,F/59/P,TRAPPIST-1e,63.0,0,Cathya Fryersonis,0,1393.0
249,0275_01,Europa,1,D/9/S,55 Cancri e,,0,Terf Obnoble,1,0.0
250,0277_01,Earth,0,F/61/P,55 Cancri e,50.0,0,Byront Mcdanield,1,2487.0
251,0278_01,Earth,0,,TRAPPIST-1e,35.0,0,Judya Beachez,0,
252,0278_02,Earth,0,G/45/P,TRAPPIST-1e,45.0,0,Marice Beachez,0,444.0
253,0281_01,Earth,0,F/63/P,TRAPPIST-1e,19.0,0,Derine Pierry,1,2078.0
254,0282_01,Earth,0,F/54/S,TRAPPIST-1e,21.0,0,Valex Baketton,1,918.0
255,0283_01,Earth,1,G/46/P,PSO J318.5-22,29.0,0,Jacky Santin,1,0.0
256,0283_02,Earth,0,F/64/P,TRAPPIST-1e,22.0,0,Roydo Santin,1,803.0
257,0285_01,Europa,1,E/16/P,TRAPPIST-1e,14.0,0,Krabik Invebodene,1,0.0
258,0285_02,Europa,1,E/16/P,55 Cancri e,42.0,0,Grasath Invebodene,1,0.0
259,0286_01,Earth,0,F/65/P,55 Cancri e,57.0,0,Carita Jimes,0,1488.0
260,0287_01,Europa,1,,55 Cancri e,39.0,0,Tetra Bootty,1,0.0
261,0287_02,Europa,0,B/12/P,TRAPPIST-1e,28.0,0,Alasym Bootty,0,2085.0
262,0288_01,Earth,0,F/55/S,55 Cancri e,19.0,0,Gory Delez,0,828.0
263,0289_01,Europa,1,C/12/S,55 Cancri e,19.0,0,Furuson Objeciane,1,0.0
264,0290_01,Europa,0,B/7/S,55 Cancri e,26.0,0,Skaton Excialing,1,5877.0
265,0290_02,Europa,1,B/7/S,TRAPPIST-1e,17.0,0,Algor Excialing,1,0.0
266,0290_03,Europa,,B/7/S,TRAPPIST-1e,43.0,0,Dhenar Excialing,1,0.0
267,0290_04,Europa,0,B/7/S,55 Cancri e,9.0,0,Atino Excialing,1,0.0
268,0291_01,Europa,0,D/10/S,TRAPPIST-1e,40.0,0,Castab Brakeril,1,7678.0
269,0294_01,Europa,1,B/8/S,TRAPPIST-1e,50.0,0,Phonons Roforhauge,1,
270,0297_01,Earth,0,G/47/P,TRAPPIST-1e,24.0,0,Ernice Gardonadox,1,1433.0
271,0298_01,Europa,1,A/3/P,55 Cancri e,57.0,0,Ashird Sorbitter,1,0.0
272,0301_01,Earth,1,,TRAPPIST-1e,16.0,0,Margia Wriggins,0,0.0
273,0302_01,Earth,0,F/67/P,TRAPPIST-1e,23.0,0,Lesley Shephendry,0,1385.0
274,0303_01,,1,G/41/S,TRAPPIST-1e,23.0,0,Oraryn Kirklander,1,0.0
275,0304_01,Europa,0,E/18/S,TRAPPIST-1e,28.0,0,Betena Ausivetpul,0,7439.0
276,0305_01,Europa,0,C/7/P,55 Cancri e,23.0,0,Suhelik Geousker,0,3073.0
277,0306_01,Earth,0,E/19/S,TRAPPIST-1e,23.0,0,Dony Estevesters,0,904.0
